id,genre,Popularity,Song,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,seconds
7KT7VGnPU5QVXN3q1BOeqb,chill,61.0,Higher Ground,0.629,0.852,C#D,-5.094,Major,0.0521,0.0865,0.0215,0.263,0.415,104.997,audio_features,spotify:track:7KT7VGnPU5QVXN3q1BOeqb,https://api.spotify.com/v1/tracks/7KT7VGnPU5QVXN3q1BOeqb,https://api.spotify.com/v1/audio-analysis/7KT7VGnPU5QVXN3q1BOeqb,215131,4/4,215.131
6qpT0nzHUn52gnSWYdbxF4,chill,67.0,You Broke My Heart Again,0.579,0.145,D#E,-15.712,Major,0.232,0.952,0.0,0.204,0.242,149.81,audio_features,spotify:track:6qpT0nzHUn52gnSWYdbxF4,https://api.spotify.com/v1/tracks/6qpT0nzHUn52gnSWYdbxF4,https://api.spotify.com/v1/audio-analysis/6qpT0nzHUn52gnSWYdbxF4,103400,4/4,103.4
5RE3w3M9g5vsotdIVtLONq,chill,71.0,Close Eyes - Slowed + Reverb,0.748,0.631,A#B,-10.057,Minor,0.051,0.0799,0.838,0.104,0.0799,88.502,audio_features,spotify:track:5RE3w3M9g5vsotdIVtLONq,https://api.spotify.com/v1/tracks/5RE3w3M9g5vsotdIVtLONq,https://api.spotify.com/v1/audio-analysis/5RE3w3M9g5vsotdIVtLONq,143769,4/4,143.769
02VX51QXZlZcubvkm5mQGg,chill,69.0,Control,0.87,0.362,B,-9.307,Minor,0.0646,0.17,0.00127,0.101,0.252,120.045,audio_features,spotify:track:02VX51QXZlZcubvkm5mQGg,https://api.spotify.com/v1/tracks/02VX51QXZlZcubvkm5mQGg,https://api.spotify.com/v1/audio-analysis/02VX51QXZlZcubvkm5mQGg,170005,4/4,170.005
7dbyaRWWFvB9UG2vcwTd3J,chill,72.0,Champagne Shots,0.942,0.441,B,-11.448,Major,0.469,0.493,0.0,0.138,0.925,135.028,audio_features,spotify:track:7dbyaRWWFvB9UG2vcwTd3J,https://api.spotify.com/v1/tracks/7dbyaRWWFvB9UG2vcwTd3J,https://api.spotify.com/v1/audio-analysis/7dbyaRWWFvB9UG2vcwTd3J,144000,4/4,144.0
5NF5TV9zGZ9QLKLf7Oq05T,chill,67.0,Used to Me,0.797,0.512,F,-7.315,Minor,0.143,0.318,8.98e-06,0.352,0.691,100.029,audio_features,spotify:track:5NF5TV9zGZ9QLKLf7Oq05T,https://api.spotify.com/v1/tracks/5NF5TV9zGZ9QLKLf7Oq05T,https://api.spotify.com/v1/audio-analysis/5NF5TV9zGZ9QLKLf7Oq05T,179544,4/4,179.544
2W4yABdLc4Jnds67Poi5Nl,chill,64.0,Yellow Hearts,0.866,0.438,G,-8.943,Major,0.0719,0.177,0.0,0.0743,0.695,129.039,audio_features,spotify:track:2W4yABdLc4Jnds67Poi5Nl,https://api.spotify.com/v1/tracks/2W4yABdLc4Jnds67Poi5Nl,https://api.spotify.com/v1/audio-analysis/2W4yABdLc4Jnds67Poi5Nl,223258,4/4,223.258
38umMmZQdeoOG7Zojor4g3,chill,65.0,ANGOSTURA,0.536,0.659,F#G,-9.732,Major,0.0483,0.406,0.004,0.107,0.199,170.035,audio_features,spotify:track:38umMmZQdeoOG7Zojor4g3,https://api.spotify.com/v1/tracks/38umMmZQdeoOG7Zojor4g3,https://api.spotify.com/v1/audio-analysis/38umMmZQdeoOG7Zojor4g3,171020,4/4,171.02
58dSdjfEYNSxte1aNVxuNf,chill,65.0,Easy,0.722,0.282,F,-7.484,Major,0.106,0.373,0.00557,0.147,0.217,91.367,audio_features,spotify:track:58dSdjfEYNSxte1aNVxuNf,https://api.spotify.com/v1/tracks/58dSdjfEYNSxte1aNVxuNf,https://api.spotify.com/v1/audio-analysis/58dSdjfEYNSxte1aNVxuNf,314358,4/4,314.358
3ukklzkdKjDzqkroiXTvf4,chill,65.0,Affection,0.698,0.193,C#D,-15.01,Major,0.0902,0.915,0.937,0.0882,0.608,84.028,audio_features,spotify:track:3ukklzkdKjDzqkroiXTvf4,https://api.spotify.com/v1/tracks/3ukklzkdKjDzqkroiXTvf4,https://api.spotify.com/v1/audio-analysis/3ukklzkdKjDzqkroiXTvf4,117495,4/4,117.495
